Repository Name,Owner,Description,URL,Programming Language,Creation Date,Last Updated Date,Number of Stars,Number of Forks,Number of Open Issues,License Type,Topic
FinGPT,AI4Finance-Foundation,FinGPT: Open-Source Financial Large Language Models!  Revolutionize 🔥    We release the trained model on HuggingFace.,https://github.com/AI4Finance-Foundation/FinGPT,Jupyter Notebook,2023-02-11T20:21:34Z,2024-10-09T18:37:59Z,13753,1911,74,MIT License,nlp
nltk,nltk,NLTK Source,https://github.com/nltk/nltk,Python,2009-09-07T10:53:58Z,2024-10-09T15:43:11Z,13498,2877,276,Apache License 2.0,nlp
DeepLearningExamples,NVIDIA,State-of-the-Art Deep Learning scripts organized by models - easy to train and deploy with reproducible accuracy and performance on enterprise-grade infrastructure.,https://github.com/NVIDIA/DeepLearningExamples,Jupyter Notebook,2018-05-02T17:04:05Z,2024-10-09T14:28:12Z,13339,3192,341,No License,nlp
PaddleHub,PaddlePaddle,"Awesome pre-trained models toolkit based on PaddlePaddle. (400+ models including Image, Text, Audio, Video and Cross-Modal with Easy Inference & Serving)【安全加固，暂停交互，请耐心等待】",https://github.com/PaddlePaddle/PaddleHub,Python,2018-12-21T06:00:48Z,2024-10-09T11:54:21Z,12692,2076,579,Apache License 2.0,nlp
botpress,botpress,The open-source hub to build & deploy GPT/LLM Agents ⚡️,https://github.com/botpress/botpress,TypeScript,2016-11-16T21:57:59Z,2024-10-09T18:39:47Z,12609,1760,16,MIT License,nlp
storm,stanford-oval,An LLM-powered knowledge curation system that researches a topic and generates a full-length report with citations.,https://github.com/stanford-oval/storm,Python,2024-03-24T16:23:39Z,2024-10-09T17:20:43Z,12034,1086,27,MIT License,nlp
ollama,ollama,"Get up and running with Llama 3.2, Mistral, Gemma 2, and other large language models.",https://github.com/ollama/ollama,C++,2023-06-26T19:39:32Z,2024-10-09T19:27:10Z,92639,7304,1371,MIT License,llm
dify,langgenius,"Dify is an open-source LLM app development platform. Dify's intuitive interface combines AI workflow, RAG pipeline, agent capabilities, model management, observability features and more, letting you quickly go from prototype to production.",https://github.com/langgenius/dify,TypeScript,2023-04-12T07:40:24Z,2024-10-09T17:37:09Z,47423,6760,307,Other,llm
MetaGPT,geekan,"🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming",https://github.com/geekan/MetaGPT,Python,2023-06-30T09:04:55Z,2024-10-09T15:04:51Z,44137,5248,306,MIT License,llm
open-webui,open-webui,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)",https://github.com/open-webui/open-webui,Svelte,2023-10-06T22:08:27Z,2024-10-09T19:08:21Z,42101,5014,131,MIT License,llm
